en,cn,num
person_takes_object_from_oven, 人从烤箱中取物品,443
person_falls_while_standing, 人站立时摔倒,449
person_pets_dog, 人抚摸狗,467
person_gestures_zoom_out, 人手势放大,469
person_puts_object_into_oven, 人把物品放进烤箱,504
person_gestures_zoom_in, 人手势缩小,524
person_unloads_dryer, 人卸载烘干机,552
person_purchases_from_machine, 人从机器购买,564
person_shaves_face, 人刮脸,567
person_closes_sliding_door, 人关闭滑动门,579
person_closes_gate, 人关闭门闩,585
person_inserts_trashbag_into_trashcan, 人把垃圾袋放进垃圾桶,594
person_turns_off_lamp, 人关闭灯,606
person_turns_off_fan, 人关闭风扇,619
person_turns_off_stovetop, 人关闭炉灶,624
person_applies_shaving_cream, 人涂抹剃须膏,628
person_falls_from_bed, 人从床上摔下来,639
person_opens_sliding_door, 人打开滑动门,643
person_opens_gate, 人打开门闩,649
person_turns_on_lamp, 人打开灯,659
person_removes_trashbag_from_trashcan, 人从垃圾桶中取出垃圾袋,663
person_loads_groceries_into_cabinet, 人把杂货放进橱柜,664
person_takes_off_necktie, 人解开领带,676
person_turns_on_fan, 人打开风扇,679
person_takes_off_apron, 人脱掉围裙,681
person_dries_face_with_towel, 人用毛巾擦脸,685
person_turns_on_stovetop, 人打开炉灶,688
person_uses_bodyweight_scale, 人使用体重秤,690
person_loads_groceries_into_refrigerator, 人把杂货放进冰箱,693
person_braids_hair_of_person, 人给人编发,714
person_takes_off_hairtie, 人解开发带,718
person_carries_person_on_back, 人背着人,727
person_loads_dryer, 人装满烘干机,735
person_makes_bed, 人铺床,737
person_sets_upright_furniture, 人摆放家具,739
person_climbs_down_ladder, 人爬下梯子,739
person_closes_car_hood, 人关闭车盖,741
person_closes_oven_door, 人关闭烤箱门,752
person_unfolds_blanket, 人展开毯子,756
person_puts_on_apron, 人穿上围裙,760
person_washes_face, 人洗脸,761
person_hugs_person_from_behind, 人从背后拥抱人,763
person_flips_down_car_wipers, 人摁下车辆雨刮器,763
person_looks_over_shoulder, 人回头看,763
person_uncovers_with_bedsheets, 人用床单盖住,766
person_puts_on_necktie, 人系上领带,768
person_searches_in_cabinet, 人在橱柜中搜索,773
person_puts_hair_in_ponytail, 人把头发扎成马尾辫,783
person_opens_car_hood, 人打开车盖,784
person_throws_object_on_bed, 人把物品扔在床上,789
person_closes_door_with_hip, 人用臀部关上门,792
person_takes_object_from_refrigerator, 人从冰箱中取物品,796
person_sets_table, 人摆餐桌,799
person_climbs_up_ladder, 人爬上梯子,800
person_pulls_wheeled_cart, 人拉动带轮手推车,802
person_knocks_over_furniture, 人推倒家具,817
person_lifts_dummbells, 人举哑铃,822
person_tickles_person, 人逗弄人,823
person_covers_with_bedsheets, 人用床单盖住,828
person_opens_oven_door, 人打开烤箱门,833
person_catches_dropped_object, 人接住掉落的物品,834
person_walks, 人走路,836
person_folds_blanket, 人折叠毯子,836
person_flips_up_car_wipers, 人翻起车辆雨刮器,837
person_carries_person_over_shoulder, 人背着人,838
person_takes_object_from_microwave, 人从微波炉中取物品,847
person_takes_selfie_with_person, 人与人自拍,856
person_closes_door_with_foot, 人用脚关上门,867
person_climbs_off_table, 人从桌子上爬下,872
person_folds_tablecloth, 人折叠桌布,875
person_pushes_wheeled_cart, 人推动带轮手推车,885
person_bumps_into_person, 人撞到人,887
person_vapes, 人使用电子烟,892
person_closes_microwave, 人关闭微波炉,893
person_locks_door_with_keys, 人用钥匙锁门,909
person_dries_hair_with_hairdryer, 人用吹风机吹干头发,911
person_falls_from_chair, 人从椅子上摔下来,912
person_buttons_shirt, 人系扣衬衫,916
person_puts_object_into_refrigerator, 人把物品放进冰箱,919
person_irons_clothes, 人熨烫衣物,925
person_climbs_on_table, 人爬上桌子,946
person_puts_on_pants, 人穿裤子,949
person_takes_off_shirt, 人脱衬衫,949
person_stubs_toe, 人绊到脚趾,955
person_takes_off_hoodie, 人脱卫衣,956
person_puts_object_into_microwave, 人把物品放进微波炉,957
person_dusts_furniture, 人擦拭家具,959
person_interacts_with_handheld_game, 人玩手持游戏,983
person_spreads_tablecloth, 人铺桌布,996
person_opens_microwave, 人打开微波炉,996
person_wraps_box, 人包装盒子,998
person_takes_clothes_from_closet, 人从衣柜里取衣物,998
person_opens_can_with_can_opener, 人用开罐器打开罐头,1001
person_takes_off_pants, 人脱裤子,1014
person_pushes_in_chair, 人推椅子,1018
person_unbuttons_shirt, 人解开衬衫扣子,1022
person_vacuums_carpet, 人吸尘地毯,1039
person_takes_off_earrings, 人摘掉耳环,1039
person_pours_coffee_into_mug, 人将咖啡倒入杯子,1048
person_takes_off_belt, 人解开腰带,1055
person_puts_on_shirt, 人穿衬衫,1055
person_exercises_with_plank, 人用平板进行锻炼,1064
person_carries_bicycle, 人携带自行车,1066
person_puts_on_hoodie, 人穿卫衣,1071
person_closes_box, 人关闭盒子,1087
person_puts_clothes_into_closet, 人把衣物放进衣柜,1091
person_waters_houseplant, 人浇水给家里的植物,1099
person_drinks_from_beverage_can, 人从饮料罐中喝,1099
person_knocks_over_glass, 人打翻玻璃杯,1099
person_pulls_out_chair, 人拉出椅子,1112
person_unlocks_door_with_keys, 人用钥匙解锁门,1116
person_extinguishes_candle, 人熄灭蜡烛,1119
person_takes_off_jacket, 人脱外套,1126
person_catches_object_from_person, 人接住从人手中传来的物品,1127
person_closes_clothes_washer, 人关闭洗衣机,1131
person_climbs_off_couch, 人从沙发上爬下,1142
person_uncovers_with_blanket, 人用毯子盖住,1148
person_throws_object_on_table, 人把物品扔在桌子上,1153
person_applies_facial_moisturizer, 人涂抹面部保湿霜,1156
person_puts_on_earrings, 人戴耳环,1157
person_takes_object_from_basket, 人从篮子中取物品,1165
person_opens_beverage_can, 人打开饮料罐,1167
person_stretches_arms_over_head, 人伸展双臂在头顶上方,1172
person_shakes_head, 人摇头,1173
person_washes_window, 人清洁窗户,1176
person_eats_banana, 人吃香蕉,1178
person_puts_object_into_basket, 人把物品放进篮子,1183
person_opens_box, 人打开盒子,1184
person_takes_off_backpack, 人脱下背包,1187
person_closes_jar, 人关闭罐子,1189
person_puts_on_belt, 人系上腰带,1190
person_blows_into_hands, 人吹口气到手上,1206
person_climbs_down_stairs, 人下楼梯,1209
person_puts_object_into_kitchen_drawer, 人把物品放进厨房抽屉,1213
person_throws_object_to_person, 人把物品扔给人,1217
person_takes_off_socks, 人脱袜子,1218
person_loads_clothes_into_suitcase, 人把衣物装进手提箱,1218
person_throws_object_to_ground, 人把物品扔到地上,1220
person_bumps_into_table, 人撞到桌子,1220
person_closes_kitchen_drawer, 人关闭厨房抽屉,1225
person_puts_object_into_purse, 人把物品放进手袋,1230
person_opens_clothes_washer, 人打开洗衣机,1233
person_burns_hand, 人烫伤手,1239
person_eats_apple, 人吃苹果,1239
person_throws_object_into_air, 人把物品扔向空中,1240
person_takes_off_ring, 人摘下戒指,1241
person_climbs_on_couch, 人爬上沙发,1246
person_washes_dish, 人洗碗,1247
person_climbs_up_stairs, 人上楼梯,1251
person_covers_with_blanket, 人用毯子盖住,1252
person_kicks_car_tires, 人踢车轮胎,1255
person_puts_object_into_box, 人把物品放进盒子,1255
person_shades_eyes, 人遮挡眼睛,1263
person_drinks_from_shotglass, 人从小玻璃杯喝酒,1264
person_takes_off_wristwatch, 人取下手表,1265
person_closes_suitcase, 人关闭手提箱,1269
person_climbs_off_chair, 人从椅子上爬下来,1273
person_lights_candle, 人点燃蜡烛,1279
person_nods_head, 人点头,1279
person_puts_on_backpack, 人背上背包,1285
person_uncovers_friend_with_blanket, 人用毯子 uncover 朋友,1288
person_opens_jar, 人打开罐子,1289
person_unzips_jacket, 人解开夹克,1290
person_takes_off_necklace, 人摘下项链,1290
person_dries_dish, 人擦干盘子,1296
person_applies_sunscreen, 人涂抹防晒霜,1301
person_takes_object_from_box, 人从盒子里取物品,1302
person_picks_up_person, 人扶起人,1310
person_discards_trash, 人丢弃垃圾,1310
person_takes_clothes_from_dresser, 人从梳妆台取衣物,1329
person_jumps_on_bed, 人跳上床,1332
person_hits_person_with_pillow, 人用枕头打人,1333
person_puts_object_into_backpack, 人把物品放进背包,1342
person_takes_object_from_kitchen_drawer, 人从厨房抽屉取物品,1343
person_sets_upright_glass, 人竖立玻璃杯,1344
person_walks_tiptoe, 人踮着脚尖走路,1347
person_puts_on_ring, 人戴上戒指,1350
person_opens_kitchen_drawer, 人打开厨房抽屉,1351
person_takes_down_picture_frame, 人取下照片框架,1357
person_unloads_clotheswasher, 人卸载洗衣机,1359
person_walks_around_car, 人绕着车走,1367
person_arranges_flowers_in_vase, 人把花插入花瓶,1368
person_covers_friend_with_blanket, 人用毯子盖住朋友,1378
person_stretches_arms_to_side, 人伸展双臂侧身,1379
person_interacts_with_tablet, 人使用平板电脑,1384
person_zips_up_jacket, 人拉上夹克的拉链,1386
person_opens_suitcase, 人打开手提箱,1389
person_applies_foundation_makeup, 人涂抹粉底妆容,1390
person_puts_on_socks, 人穿上袜子,1391
person_takes_object_from_purse, 人从手袋中取物品,1396
person_puts_on_wristwatch, 人戴上手表,1397
person_puts_on_necklace, 人戴上项链,1410
person_climbs_on_chair, 人爬上椅子,1415
person_puts_clothes_into_dresser, 人把衣物放进梳妆台,1429
person_closes_home_window, 人关闭家里的窗户,1432
person_closes_closet_door, 人关闭衣柜门,1437
person_puts_on_jacket, 人穿上夹克,1437
person_closes_refrigerator, 人关闭冰箱,1438
person_dries_hands_with_towel, 人用毛巾擦干双手,1438
person_unties_jacket_around_waist, 人解开腰间夹克,1442
person_turns_off_faucet, 人关闭水龙头,1444
person_takes_selfie, 人自拍,1445
person_takes_off_gloves, 人脱手套,1456
person_stretches_back, 人伸展背部,1457
person_sticks_out_tongue, 人伸出舌头,1473
person_puts_up_picture_frame, 人挂起照片框架,1479
person_searches_in_purse, 人在手袋里搜索,1482
person_prays, 人祈祷,1486
person_takes_object_from_backpack, 人从背包中取物品,1501
person_kicks_object_to_person, 人踢物品给人,1501
person_applies_eye_makeup, 人涂抹眼妆,1514
person_opens_closet_door, 人打开衣柜门,1517
person_opens_cabinet, 人打开橱柜,1533
person_takes_off_shoes, 人脱鞋,1534
person_kisses_cheek_of_person, 人亲吻人的脸颊,1539
person_opens_home_window, 人打开家里的窗户,1542
person_applies_lip_makeup, 人涂抹唇妆,1545
person_hikes_up_pants, 人提起裤子,1555
person_puts_down_object_on_bed, 人把物品放在床上,1556
person_turns_on_faucet, 人打开水龙头,1565
person_loads_clotheswasher, 人装满洗衣机,1574
person_gestures_swipe_right, 人做向右滑动手势,1578
person_ties_jacket_around_waist, 人把夹克系在腰间,1579
person_paints_fingernails,人涂指甲油,1579
person_washes_hands, 人洗手,1580
person_takes_off_sunglasses, 人取下太阳镜,1586
person_unloads_clothes_from_suitcase, 人从手提箱中取出衣物,1587
person_searches_in_backback, 人在背包里搜索,1589
person_puts_on_gloves, 人戴上手套,1605
person_opens_refrigerator, 人打开冰箱,1611
person_gestures_hang_loose, 人做松弛手势,1614
person_gestures_swipe_down, 人做向下滑动手势,1617
person_polishes_car_with_rag, 人用抹布擦拭车子,1630
person_highfives_hand, 人与手击掌,1633
person_puts_down_object_into_cabinet, 人把物品放进橱柜,1635
person_pounds_shoulders_of_person, 人拍打另一人的肩膀,1644
person_jumps_on_couch, 人跳上沙发,1644
person_nudges_person_with_elbow, 人用肘部轻推另一人,1656
person_flosses, 人使用牙线,1664
person_touches_back_of_person, 人触摸另一人的背部,1665
person_touches_face_of_person, 人触摸另一人的脸,1667
person_slaps_hands_on_thighs, 人拍打大腿,1671
person_eats_with_utensil, 人使用餐具吃饭,1672
person_searches_under_bed, 人在床底下搜索,1679
person_carries_laundry_basket, 人提着洗衣筐,1682
person_puts_down_object_on_countertop, 人把物品放在柜台上,1691
person_closes_cabinet, 人关闭橱柜,1693
person_mops, 人拖地,1694
person_takes_object_from_cabinet, 人从橱柜里取物品,1698
person_puts_on_shoes, 人穿上鞋子,1701
person_eats_with_hands, 人用手吃东西,1702
person_kneels, 人跪下,1705
person_dries_hair_with_towel, 人用毛巾擦干头发,1711
person_drums_on_chest, 人敲击胸部,1721
person_gestures_swipe_left, 人做向左滑动手势,1726
person_closes_dresser_drawer, 人关闭梳妆台抽屉,1727
person_puts_object_in_cabinet, 人把物品放进橱柜,1727
person_puts_on_sunglasses, 人戴上太阳镜,1732
person_gestures_swipe_up, 人做向上滑动手势,1750
person_folds_shirt, 人折叠衬衫,1761
person_spins_person_around, 人转动另一人,1770
person_folds_socks, 人折叠袜子,1779
person_folds_pants, 人折叠裤子,1782
person_blows_nose, 人擤鼻涕,1809
person_picks_up_object_from_cabinet, 人从橱柜中取物品,1815
person_carries_furniture, 人搬运家具,1817
person_carries_groceries, 人搬运杂货,1827
person_puts_fingers_in_ear, 人把手指放进耳朵里,1828
person_folds_towel, 人折叠毛巾,1837
person_opens_dresser_drawer, 人打开梳妆台抽屉,1838
person_wiggles_hips, 人扭动臀部,1842
person_scratches_face, 人挠脸,1850
person_squeezes_object, 人捏压物品,1851
person_cracks_knuckles, 人弹指关节,1853
person_waves_hand_over_object, 人挥动手臂在物品上方,1857
person_drinks_from_cup, 人从杯子里喝东西,1858
person_gestures_peace, 人做和平手势,1862
person_taps_object_with_finger, 人用手指轻敲物品,1876
person_picks_up_object_from_countertop, 人从柜台上取物品,1882
person_puts_down_object_on_couch, 人把物品放在沙发上,1899
person_snaps_fingers, 人噼啪响指,1904
person_puts_down_person, 人放下另一人,1907
person_searches_in_kitchen_drawer, 人在厨房抽屉里搜索,1914
person_crumples_paper, 人揉皱纸张,1921
person_lies_down_on_floor, 人躺在地板上,1924
person_gestures_thumbs_down, 人竖起大拇指向下,1938
person_brushes_hair_of_person, 人为另一人梳理头发,1942
person_yawns, 人打哈欠,1943
person_closes_curtains, 人关闭窗帘,1945
person_searches_under_couch, 人在沙发下搜索,1947
person_gestures_thumbs_up, 人竖起大拇指向上,1947
person_crawls, 人爬行,1952
person_dances_in_place, 人原地跳舞,1952
person_licks_fingers, 人舔手指,1952
person_brushes_hair, 人梳理头发,1955
person_takes_off_scarf, 人取下围巾,1956
person_untucks_shirt, 人解开衬衫,1961
person_grabs_person_by_shoulder, 人抓住另一人的肩膀,1962
person_looks_at_hands_in_lap, 人看着手在膝上,1966
person_exercises_with_lunges, 人做弓步练习,1968
person_puts_down_object_on_shelf, 人把物品放在架子上,1969
person_twirls, 人旋转,1973
person_puts_object_into_bag, 人把物品放进袋子里,1982
person_tears_paper, 人撕纸,1992
person_unplugs_from_electrical_socket, 人从电源插座拔出,1996
person_swats_bug, 人拍打虫子,1996
person_rubs_foot, 人摩擦脚,2027
person_files_fingernails, 人修指甲,2030
person_touches_earlobe, 人触摸耳垂,2037
person_sneezes_into_hand, 人打喷嚏并捂住口鼻,2044
person_lies_down_on_couch, 人躺在沙发上,2049
person_sneezees into arm, 人打喷嚏并用手臂遮挡,2052
person_takes_medicine_pills, 人服用药片,2055
person_opens_curtains, 人打开窗帘,2056
person_rubs_eyes, 人揉擦眼睛,2061
person_picks_up_object_from_couch, 人从沙发上拿起物品,2066
person_holds_object_above_head, 人举起物品在头上,2072
person_takes_object_from_bag, 人从袋子里取物品,2072
person_applies_deodorant, 人涂抹除臭剂,2073
person_puts_feet_up, 人把脚放高,2082
person_shrugs, 人耸肩,2085
person_plugs_into_electrical_socket, 人插入电源插座,2095
person_tucks_in_shirt, 人把衬衫塞进裤子里,2115
person_laughs_with_person, 人与另一人一起笑,2117
person_crosses_legs, 人交叉腿,2119
person_clips_fingernails, 人修剪指甲,2126
person_rubs_neck, 人揉擦脖子,2130
person_puts_on_scarf, 人戴上围巾,2133
person_bows, 人鞠躬,2170
person_screws_lid_to_bottle, 人旋紧瓶盖,2172
person_karate_chop, 人进行空手道劈击,2197
person_hugs_stuffed_animal, 人拥抱毛绒玩具,2202
person_picks_up_object_from_shelf, 人从架子上拿起物品,2210
person_gestures_lower_hand, 人做下移手势,2212
person_searches_in_couch, 人在沙发里搜索,2263
person_takes_off_headphones, 人取下耳机,2276
person_reads_newspaper, 人阅读报纸,2352
person_unscrews_lid_from_bottle, 人旋开瓶盖,2362
person_covers_face_with_hands, 人用手遮脸,2363
person_takes_off_facemask, 人取下口罩,2387
person_pours_into_bowl, 人倒入碗中,2388
person_gestures_stop, 人做停止手势,2390
person_searches_in_box, 人在盒子里搜索,2412
person_picks_up_object_from_bed, 人从床上拿起物品,2418
person_karate_kicks, 人进行空手道踢击,2427
person_gestures_call_me, 人做打电话给我手势,2441
person_gestures_raise_hand, 人举手示意,2441
person_eats_snack_from_bag, 人从袋子里吃零食,2448
person_gestures_come_here, 人做过来手势,2450
person_lies_down_on_bed, 人躺在床上,2461
person_bumps_into_wall, 人撞墙,2476
person_gestures_heart, 人做爱心手势,2479
person_bounces_ball_on_floor, 人在地板上弹球,2482
person_gestures_arms_x, 人做交叉手臂的手势,2490
person_gestures_number_one, 人做数字一的手势,2493
person_gestures_number_four, 人做数字四的手势,2496
person_exercises_with_situp, 人做仰卧起坐练习,2505
person_gestures_watch_closely, 人做仔细观察的手势,2511
person_gestures_number_five, 人做数字五的手势,2515
person_gestures_number_three, 人做数字三的手势,2516
person_puts_on_headphones, 人戴上耳机,2528
person_rides_bicycle, 人骑自行车,2556
person_gestures_be_quiet, 人做安静的手势,2579
person_puts_on_facemask, 人戴上口罩,2600
person_waves_at_person, 人向另一人挥手,2603
person_points_at_person, 人指向另一人,2606
person_takes_off_hat, 人脱下帽子,2618
person_gestures_blow_kiss, 人送飞吻的手势,2628
person_takes_off_glasses, 人摘下眼镜,2638
person_gestures_listen_closely, 人做聚精会神听的手势,2658
person_gestures_cut, 人做切割的手势,2661
person_pats_head, 人拍打头部,2680
person_gestures_behind_me, 人做背后的手势,2710
person_squats, 人蹲下,2710
person_cleans_table_with_rag, 人用抹布擦桌子,2718
person_closes_laptop, 人关闭笔记本电脑,2721
person_stirs_mug, 人搅拌杯子里的东西,2747
person_shoves_person, 人推搡另一人,2757
person_brushes_teeth, 人刷牙,2763
person_reads_magazine, 人阅读杂志,2800
person_claps_hands, 人鼓掌,2815
person_sits_crisscross, 人盘腿坐下,2821
person_exercises_with_pushup, 人做俯卧撑练习,2831
person_puts_on_glasses, 人戴上眼镜,2860
person_searches_in_bag, 人在包里搜索,2866
person_reads_book, 人阅读书籍,2884
person_opens_laptop, 人打开笔记本电脑,2930
person_exercises_with_jumping_jacks, 人做开合跳练习,2933
person_puts_on_hat, 人戴上帽子,2935
person_looks_at_wristwatch, 人看手表,2944
person_crosses_arms, 人交叉双臂,2957
person_grabs_person_by_hair, 人抓住另一人的头发,3013
person_grabs_person_by_forearm, 人抓住另一人的前臂,3036
person_drinks_from_straw, 人用吸管喝东西,3064
person_grabs_person_by_bicep, 人抓住另一人的二头肌,3065
person_strokes_hair, 人抚摸头发,3072
person_pours_liquid_into_cup, 人将液体倒入杯子,3096
person_strokes_chin, 人抚摸下巴,3159
person_punches, 人出拳,3187
person_puts_hands_in_back_pockets, 人把手放在后口袋里,3218
person_holds_hand, 人握手,3336
person_salutes, 人敬礼,3445
person_uses_television_remote, 人使用电视遥控器,3453
person_wipes_mouth_with_napkin, 人用餐巾擦嘴,3468
person_sweeps_floor, 人扫地,3605
person_drinks_from_mug, 人从杯子里喝东西,3652
person_puts_phone_into_pocket, 人把手机放入口袋,3657
person_closes_car_trunk, 人关闭汽车后备箱,3697
person_opens_car_trunk, 人打开汽车后备箱,3799
person_sprays_from_bottle, 人从瓶子里喷洒,3810
person_jumps, 人跳跃,3914
person_takes_phone_from_pocket, 人从口袋里拿出手机,3960
person_trips_on_object_on_floor, 人在地板上被物品绊倒,3976
person_steals_object_from_person, 人从另一人那里偷东西,4208
person_drinks_from_bottle, 人从瓶子里喝东西,4483
person_drops_object, 人掉落物品,4536
person_loads_car, 人装载汽车,4973
person_enters_car, 人进入汽车,5239
person_picks_up_object_from_table, 人从桌子上拿起物品,5519
person_sits_down, 人坐下,5539
person_exits_car, 人离开汽车,5565
person_talks_on_phone, 人打电话,5890
person_puts_down_object_on_table, 人把物品放在桌子上,5955
person_texts_on_phone, 人在手机上发短信,6120
person_exits_scene_through_structure, 人通过建筑物离开场景,6163
car_drops_off_person, 汽车送人,6637
person_opens_car_door, 人打开汽车门,6747
car_picks_up_person, 汽车接人,6853
person_interacts_with_laptop, 人与笔记本电脑交互,6926
person_closes_car_door, 人关闭汽车门,6944
person_carries_heavy_object, 人搬运重物,6967
person_embraces_person, 人拥抱另一人,6975
person_shakes_hand, 人握手,7045
person_unloads_car, 人卸载汽车,7165
person_reads_document, 人阅读文件,7580
person_transfers_object_to_person, 人将物品交给另一人,7661
person_enters_scene_through_structure, 人通过建筑物进入场景,7929
person_puts_down_object_on_floor, 人把物品放在地板上,8835
person_closes_facility_door, 人关闭设施门,9768
person_stands_up_from_floor, 人从地板上站起来,10050
person_stands_up, 人站起来,11056
person_talks_to_person, 人与另一人交谈,11265
person_opens_facility_door, 人打开设施门,11684
person_picks_up_object_from_floor, 人从地板上拾起物品,11970
